country,pop,year,continent,gdppercap,lifeexp,af_lf,am_lf,as_lf,oc_lf,eu_lf
Angola,5140000,1957,Africa,3670,38.79999923706055,38.799999,,,,
Angola,5530000,1962,Africa,4130,41.70000076293945,41.700001,,,,
Angola,5780000,1967,Africa,5410,44.70000076293945,44.700001,,,,
Angola,6040000,1972,Africa,5690,46.90000152587891,46.900002,,,,
Angola,7280000,1977,Africa,4960,47.29999923706055,47.299999,,,,
Angola,8640000,1982,Africa,4610,47.70000076293945,47.700001,,,,
Angola,10300000,1987,Africa,4130,47.70000076293945,47.700001,,,,
Angola,12200000,1992,Africa,4240,48.59999847412109,48.599998,,,,
Angola,14400000,1997,Africa,3890,50.20000076293945,50.200001,,,,
Angola,16900000,2002,Africa,4320,53.5,53.5,,,,
Angola,20100000,2007,Africa,6040,57.5,57.5,,,,
Argentina,17400000,1952,Americas,8290,61.59999847412109,,61.599998,,,
Argentina,19100000,1957,Americas,9590,63.70000076293945,,63.700001,,,
Argentina,20800000,1962,Americas,9980,64.40000152587891,,64.400002,,,
Argentina,22500000,1967,Americas,11300,64.90000152587891,,64.900002,,,
Argentina,24300000,1972,Americas,13400,66.19999694824219,,66.199997,,,
Argentina,26300000,1977,Americas,14600,68.40000152587891,,68.400002,,,
Argentina,28300000,1982,Americas,12800,70.80000305175781,,70.800003,,,
Argentina,30700000,1987,Americas,12900,72,,72,,,
Argentina,33100000,1992,Americas,13000,72.59999847412109,,72.599998,,,
Argentina,35200000,1997,Americas,15600,73.5,,73.5,,,
Argentina,37300000,2002,Americas,12500,74.19999694824219,,74.199997,,,
Argentina,39300000,2007,Americas,18000,75.09999847412109,,75.099998,,,
Australia,8400000,1952,Oceania,13500,69.30000305175781,,,,69.300003,
Australia,9370000,1957,Oceania,14700,70.5,,,,70.5,
Australia,10400000,1962,Oceania,16300,71.19999694824219,,,,71.199997,
Australia,11600000,1967,Oceania,19100,71.30000305175781,,,,71.300003,
Australia,13000000,1972,Oceania,21800,71.59999847412109,,,,71.599998,
Australia,13900000,1977,Oceania,23500,73.30000305175781,,,,73.300003,
Australia,14800000,1982,Oceania,24600,74.80000305175781,,,,74.800003,
Australia,15900000,1987,Oceania,27400,76,,,,76,
Australia,17200000,1992,Oceania,28000,77.40000152587891,,,,77.400002,
Australia,18200000,1997,Oceania,32100,78.59999847412109,,,,78.599998,
Australia,19200000,2002,Oceania,36600,80.19999694824219,,,,80.199997,
Australia,20500000,2007,Oceania,40700,81.40000152587891,,,,81.400002,
Austria,6930000,1952,Europe,6880,67,,,,,67
Austria,6970000,1957,Europe,9910,67.69999694824219,,,,,67.699997
Austria,7110000,1962,Europe,12100,69.80000305175781,,,,,69.800003
Austria,7350000,1967,Europe,14600,70.40000152587891,,,,,70.400002
Austria,7550000,1972,Europe,19200,70.69999694824219,,,,,70.699997
Austria,7640000,1977,Europe,23000,72.30000305175781,,,,,72.300003
Austria,7600000,1982,Europe,25400,73.30000305175781,,,,,73.300003
Austria,7630000,1987,Europe,28200,75,,,,,75
Austria,7770000,1992,Europe,32400,76.09999847412109,,,,,76.099998
Austria,8020000,1997,Europe,35200,77.59999847412109,,,,,77.599998
Austria,8100000,2002,Europe,39600,78.90000152587891,,,,,78.900002
Austria,8290000,2007,Europe,43900,80.19999694824219,,,,,80.199997
Bahrain,117000,1952,Asia,17400,43.5,,,43.5,,
Bahrain,139000,1957,Asia,21000,49.20000076293945,,,49.200001,,
Bahrain,168000,1962,Asia,23700,56.09999847412109,,,56.099998,,
Bahrain,192000,1967,Asia,28700,62.40000152587891,,,62.400002,,
Bahrain,220000,1972,Asia,36300,66.69999694824219,,,66.699997,,
Bahrain,284000,1977,Asia,38300,69.59999847412109,,,69.599998,,
Bahrain,374000,1982,Asia,38000,71.59999847412109,,,71.599998,,
Bahrain,433000,1987,Asia,36500,70.69999694824219,,,70.699997,,
Bahrain,510000,1992,Asia,39500,70.40000152587891,,,70.400002,,
Bahrain,579000,1997,Asia,43600,71.40000152587891,,,71.400002,,
Bahrain,698000,2002,Asia,43100,74.19999694824219,,,74.199997,,
Bahrain,958000,2007,Asia,42800,76.5,,,76.5,,
Bangladesh,38700000,1952,Asia,1140,40.79999923706055,,,40.799999,,
Bangladesh,43100000,1957,Asia,1100,42.5,,,42.5,,
Bangladesh,49400000,1962,Asia,1140,45,,,45,,
Bangladesh,57200000,1967,Asia,1200,46,,,46,,
Bangladesh,65500000,1972,Asia,1050,52.20000076293945,,,52.200001,,
Bangladesh,71700000,1977,Asia,1110,53,,,53,,
Bangladesh,81800000,1982,Asia,1140,54.5,,,54.5,,
Bangladesh,93200000,1987,Asia,1260,56.90000152587891,,,56.900002,,
Bangladesh,106000000,1992,Asia,1380,60.09999847412109,,,60.099998,,
Bangladesh,118000000,1997,Asia,1550,63.70000076293945,,,63.700001,,
Bangladesh,130000000,2002,Asia,1780,66.5,,,66.5,,
Bangladesh,141000000,2007,Asia,2220,68.09999847412109,,,68.099998,,
Belgium,8680000,1952,Europe,9300,68,,,,,68
Belgium,8940000,1957,Europe,10700,69.30000305175781,,,,,69.300003
Belgium,9230000,1962,Europe,12500,70.30000305175781,,,,,70.300003
Belgium,9490000,1967,Europe,15200,71,,,,,71
Belgium,9660000,1972,Europe,19500,71.40000152587891,,,,,71.400002
Belgium,9790000,1977,Europe,22700,72.69999694824219,,,,,72.699997
Belgium,9880000,1982,Europe,25200,73.69999694824219,,,,,73.699997
Belgium,9930000,1987,Europe,27500,75.19999694824219,,,,,75.199997
Belgium,10000000,1992,Europe,31400,76.40000152587891,,,,,76.400002
Belgium,10200000,1997,Europe,34200,77.40000152587891,,,,,77.400002
Belgium,10300000,2002,Europe,37900,78.30000305175781,,,,,78.300003
Belgium,10600000,2007,Europe,41600,79.59999847412109,,,,,79.599998
Benin,2260000,1952,Africa,1280,36.40000152587891,36.400002,,,,
Benin,2320000,1957,Africa,1160,39.29999923706055,39.299999,,,,
Benin,2470000,1962,Africa,1140,42,42,,,,
Benin,2680000,1967,Africa,1240,45,45,,,,
Benin,2980000,1972,Africa,1340,48,48,,,,
Benin,3350000,1977,Africa,1280,50,50,,,,
Benin,3820000,1982,Africa,1510,52.20000076293945,52.200001,,,,
Benin,4400000,1987,Africa,1440,54.5,54.5,,,,
Benin,5150000,1992,Africa,1470,56,56,,,,
Benin,6090000,1997,Africa,1570,57,57,,,,
Benin,7080000,2002,Africa,1730,58.09999847412109,58.099998,,,,
Benin,8220000,2007,Africa,1810,60,60,,,,
Bolivia,3120000,1952,Americas,3420,43.20000076293945,,43.200001,,,
Bolivia,3390000,1957,Americas,2720,45,,45,,,
Bolivia,3730000,1962,Americas,2780,46.79999923706055,,46.799999,,,
Bolivia,4120000,1967,Americas,3300,48.70000076293945,,48.700001,,,
Bolivia,4580000,1972,Americas,3800,51.09999847412109,,51.099998,,,
Bolivia,5110000,1977,Americas,4530,54.09999847412109,,54.099998,,,
Bolivia,5700000,1982,Americas,4030,56.70000076293945,,56.700001,,,
Bolivia,6310000,1987,Americas,3520,59.20000076293945,,59.200001,,,
Bolivia,7010000,1992,Americas,3800,61.79999923706055,,61.799999,,,
Bolivia,7780000,1997,Americas,4290,64.69999694824219,,64.699997,,,
Bolivia,8580000,2002,Americas,4390,67.59999847412109,,67.599998,,,
Bolivia,9400000,2007,Americas,4910,69.69999694824219,,69.699997,,,
Bosnia and Herzegovina,2710000,1952,Europe,1470,54.29999923706055,,,,,54.299999
Bosnia and Herzegovina,2990000,1957,Europe,1720,59.29999923706055,,,,,59.299999
Bosnia and Herzegovina,3290000,1962,Europe,2160,63.09999847412109,,,,,63.099998
Bosnia and Herzegovina,3590000,1967,Europe,2620,66.09999847412109,,,,,66.099998
Bosnia and Herzegovina,3810000,1972,Europe,3040,68.59999847412109,,,,,68.599998
Bosnia and Herzegovina,4030000,1977,Europe,3390,70.09999847412109,,,,,70.099998
Bosnia and Herzegovina,4220000,1982,Europe,3750,71.59999847412109,,,,,71.599998
Bosnia and Herzegovina,4440000,1987,Europe,3420,73,,,,,73
Bosnia and Herzegovina,4370000,1992,Europe,1830,67.69999694824219,,,,,67.699997
Bosnia and Herzegovina,3760000,1997,Europe,4770,74.09999847412109,,,,,74.099998
Bosnia and Herzegovina,3760000,2002,Europe,6970,75.5,,,,,75.5
Bosnia and Herzegovina,3770000,2007,Europe,9320,75.69999694824219,,,,,75.699997
Botswana,424000,1952,Africa,803,48.09999847412109,48.099998,,,,
Botswana,471000,1957,Africa,866,50.29999923706055,50.299999,,,,
Botswana,513000,1962,Africa,929,52.20000076293945,52.200001,,,,
Botswana,572000,1967,Africa,1150,54.09999847412109,54.099998,,,,
Botswana,646000,1972,Africa,2180,56.90000152587891,56.900002,,,,
Botswana,770000,1977,Africa,3030,59.59999847412109,59.599998,,,,
Botswana,930000,1982,Africa,4250,61.70000076293945,61.700001,,,,
Botswana,1110000,1987,Africa,5810,63.79999923706055,63.799999,,,,
Botswana,1330000,1992,Africa,8870,62.29999923706055,62.299999,,,,
Botswana,1500000,1997,Africa,10200,57.90000152587891,57.900002,,,,
Botswana,1670000,2002,Africa,11000,51.90000152587891,51.900002,,,,
Botswana,1840000,2007,Africa,13200,55.79999923706055,55.799999,,,,
Brazil,55600000,1952,Americas,3080,52,,52,,,
Brazil,64400000,1957,Americas,3620,54.5,,54.5,,,
Brazil,74300000,1962,Americas,4810,57.09999847412109,,57.099998,,,
Brazil,85700000,1967,Americas,4940,59.29999923706055,,59.299999,,,
Brazil,97500000,1972,Americas,7150,61.40000152587891,,61.400002,,,
Brazil,110000000,1977,Americas,9490,63.70000076293945,,63.700001,,,
Brazil,124000000,1982,Americas,9960,65.5,,65.5,,,
Brazil,138000000,1987,Americas,11100,66.69999694824219,,66.699997,,,
Brazil,152000000,1992,Americas,10100,68.40000152587891,,68.400002,,,
Brazil,165000000,1997,Americas,11300,70.19999694824219,,70.199997,,,
Brazil,177000000,2002,Americas,11600,72.09999847412109,,72.099998,,,
Brazil,188000000,2007,Americas,13300,73.69999694824219,,73.699997,,,
Bulgaria,7310000,1952,Europe,3290,59.59999847412109,,,,,59.599998
Bulgaria,7630000,1957,Europe,4050,66.59999847412109,,,,,66.599998
Bulgaria,7950000,1962,Europe,5710,69.5,,,,,69.5
Bulgaria,8280000,1967,Europe,7430,70.40000152587891,,,,,70.400002
Bulgaria,8560000,1972,Europe,8720,71.19999694824219,,,,,71.199997
Bulgaria,8770000,1977,Europe,9990,71.30000305175781,,,,,71.300003
Bulgaria,8910000,1982,Europe,10700,71.5,,,,,71.5
Bulgaria,8970000,1987,Europe,10700,71.80000305175781,,,,,71.800003
Bulgaria,8770000,1992,Europe,8060,71.40000152587891,,,,,71.400002
Bulgaria,8290000,1997,Europe,8510,70.40000152587891,,,,,70.400002
Bulgaria,7930000,2002,Europe,10100,72.19999694824219,,,,,72.199997
Bulgaria,7630000,2007,Europe,14500,73,,,,,73
Burkina Faso,4320000,1952,Africa,524,34.20000076293945,34.200001,,,,
Burkina Faso,4570000,1957,Africa,595,37,37,,,,
Burkina Faso,4890000,1962,Africa,697,39.90000152587891,39.900002,,,,
Burkina Faso,5260000,1967,Africa,766,42.79999923706055,42.799999,,,,
Burkina Faso,5720000,1972,Africa,823,45.20000076293945,45.200001,,,,
Burkina Faso,6270000,1977,Africa,715,46.90000152587891,46.900002,,,,
Burkina Faso,6990000,1982,Africa,777,49.09999847412109,49.099998,,,,
Burkina Faso,7930000,1987,Africa,877,50.5,50.5,,,,
Burkina Faso,9050000,1992,Africa,875,50.59999847412109,50.599998,,,,
Burkina Faso,10400000,1997,Africa,997,50.79999923706055,50.799999,,,,
Burkina Faso,11900000,2002,Africa,1130,53.40000152587891,53.400002,,,,
Burkina Faso,13800000,2007,Africa,1340,56.5,56.5,,,,
Burundi,2360000,1952,Africa,564,40,40,,,,
Burundi,2580000,1957,Africa,631,41.59999847412109,41.599998,,,,
Burundi,2850000,1962,Africa,591,43.29999923706055,43.299999,,,,
Burundi,3170000,1967,Africa,689,44.79999923706055,44.799999,,,,
Burundi,3530000,1972,Africa,783,18.5,18.5,,,,
Burundi,3770000,1977,Africa,925,46.29999923706055,46.299999,,,,
Burundi,4270000,1982,Africa,898,47.59999847412109,47.599998,,,,
Burundi,4890000,1987,Africa,999,48.59999847412109,48.599998,,,,
Burundi,5560000,1992,Africa,1040,48.40000152587891,48.400002,,,,
Burundi,6060000,1997,Africa,728,43.59999847412109,43.599998,,,,
Burundi,6530000,2002,Africa,728,46.59999847412109,46.599998,,,,
Burundi,7610000,2007,Africa,707,54.90000152587891,54.900002,,,,
Cambodia,4540000,1952,Asia,494,42.70000076293945,,,42.700001,,
Cambodia,5180000,1957,Asia,582,43.70000076293945,,,43.700001,,
Cambodia,5870000,1962,Asia,666,44.5,,,44.5,,
Cambodia,6590000,1967,Asia,702,45.70000076293945,,,45.700001,,
Cambodia,7140000,1972,Asia,565,45.40000152587891,,,45.400002,,
Cambodia,7400000,1977,Asia,702,24.60000038146973,,,24.6,,
Cambodia,6750000,1982,Asia,835,53.40000152587891,,,53.400002,,
Cambodia,7960000,1987,Asia,916,56.59999847412109,,,56.599998,,
Cambodia,9290000,1992,Asia,918,58.29999923706055,,,58.299999,,
Cambodia,11000000,1997,Asia,1120,59.09999847412109,,,59.099998,,
Cambodia,12400000,2002,Asia,1520,61.5,,,61.5,,
Cambodia,13500000,2007,Asia,2330,65.30000305175781,,,65.300003,,
Cameroon,4380000,1952,Africa,1570,41.70000076293945,41.700001,,,,
Cameroon,4790000,1957,Africa,1760,44,44,,,,
Cameroon,5290000,1962,Africa,1890,46.59999847412109,46.599998,,,,
Cameroon,5910000,1967,Africa,2070,49.29999923706055,49.299999,,,,
Cameroon,6690000,1972,Africa,2350,51.79999923706055,51.799999,,,,
Cameroon,7660000,1977,Africa,2540,53.59999847412109,53.599998,,,,
Cameroon,8890000,1982,Africa,3420,55.70000076293945,55.700001,,,,
Cameroon,10400000,1987,Africa,3800,57.59999847412109,57.599998,,,,
Cameroon,12100000,1992,Africa,2640,57.09999847412109,57.099998,,,,
Cameroon,14000000,1997,Africa,2460,55.59999847412109,55.599998,,,,
Cameroon,15900000,2002,Africa,2640,54.59999847412109,54.599998,,,,
Cameroon,18200000,2007,Africa,2860,55.70000076293945,55.700001,,,,
Canada,14100000,1952,Americas,13200,68.80000305175781,,68.800003,,,
Canada,16100000,1957,Americas,14600,70,,70,,,
Canada,18200000,1962,Americas,15700,71.30000305175781,,71.300003,,,
Canada,20000000,1967,Americas,18700,72.09999847412109,,72.099998,,,
Canada,21700000,1972,Americas,22000,72.90000152587891,,72.900002,,,
Canada,23400000,1977,Americas,25500,74.19999694824219,,74.199997,,,
Canada,24700000,1982,Americas,26400,75.80000305175781,,75.800003,,,
Canada,26100000,1987,Americas,30600,76.69999694824219,,76.699997,,,
Canada,27900000,1992,Americas,30300,77.69999694824219,,77.699997,,,
Canada,29500000,1997,Americas,33500,78.5,,78.5,,,
Canada,30900000,2002,Americas,38500,79.59999847412109,,79.599998,,,
Canada,32500000,2007,Americas,41600,80.69999694824219,,80.699997,,,
Central African Republic,1340000,1952,Africa,1360,36.70000076293945,36.700001,,,,
Central African Republic,1420000,1957,Africa,1510,39.09999847412109,39.099998,,,,
Central African Republic,1530000,1962,Africa,1510,41.70000076293945,41.700001,,,,
Central African Republic,1670000,1967,Africa,1430,44.79999923706055,44.799999,,,,
Central African Republic,1840000,1972,Africa,1340,47.29999923706055,47.299999,,,,
Central African Republic,2000000,1977,Africa,1380,47.79999923706055,47.799999,,,,
Central African Republic,2260000,1982,Africa,1170,49.09999847412109,49.099998,,,,
Central African Republic,2600000,1987,Africa,1040,48.59999847412109,48.599998,,,,
Central African Republic,2880000,1992,Africa,867,46.5,46.5,,,,
Central African Republic,3310000,1997,Africa,863,44.70000076293945,44.700001,,,,
Central African Republic,3720000,2002,Africa,881,44.40000152587891,44.400002,,,,
Central African Republic,4120000,2007,Africa,885,46,46,,,,
Chad,2540000,1952,Africa,1040,41.59999847412109,41.599998,,,,
Chad,2790000,1957,Africa,1160,43.5,43.5,,,,
Chad,3060000,1962,Africa,1250,45.40000152587891,45.400002,,,,
Chad,3370000,1967,Africa,1130,47.5,47.5,,,,
Chad,3730000,1972,Africa,1100,50,50,,,,
Chad,4170000,1977,Africa,1190,51.20000076293945,51.200001,,,,
Chad,4610000,1982,Africa,788,51,51,,,,
Chad,5250000,1987,Africa,1040,51.29999923706055,51.299999,,,,
Chad,6160000,1992,Africa,1220,53.29999923706055,53.299999,,,,
Chad,7250000,1997,Africa,1050,52.5,52.5,,,,
Chad,8680000,2002,Africa,1110,52.5,52.5,,,,
Chad,10500000,2007,Africa,1740,54.59999847412109,54.599998,,,,
Chile,6730000,1952,Americas,5450,55.5,,55.5,,,
Chile,7480000,1957,Americas,5890,56.90000152587891,,56.900002,,,
Chile,8300000,1962,Americas,6170,58.79999923706055,,58.799999,,,
Chile,9150000,1967,Americas,6930,61.40000152587891,,61.400002,,,
Chile,9940000,1972,Americas,7450,63.59999847412109,,63.599998,,,
Chile,10800000,1977,Americas,6520,67.80000305175781,,67.800003,,,
Chile,11600000,1982,Americas,7030,71.09999847412109,,71.099998,,,
Chile,12400000,1987,Americas,7660,73.09999847412109,,73.099998,,,
Chile,13500000,1992,Americas,10400,74.90000152587891,,74.900002,,,
Chile,14600000,1997,Americas,13500,75.80000305175781,,75.800003,,,
Chile,15500000,2002,Americas,14800,77.30000305175781,,77.300003,,,
Chile,16400000,2007,Americas,18500,78.40000152587891,,78.400002,,,
China,570000000,1952,Asia,835,43.5,,,43.5,,
China,621000000,1957,Asia,953,50.5,,,50.5,,
China,671000000,1962,Asia,569,44.40000152587891,,,44.400002,,
China,742000000,1967,Asia,722,58.29999923706055,,,58.299999,,
China,849000000,1972,Asia,846,63.70000076293945,,,63.700001,,
China,943000000,1977,Asia,909,65.19999694824219,,,65.199997,,
China,1010000000,1982,Asia,1200,66.5,,,66.5,,
China,1100000000,1987,Asia,1600,68.30000305175781,,,68.300003,,
China,1190000000,1992,Asia,1850,69.09999847412109,,,69.099998,,
China,1250000000,1997,Asia,3010,70.80000305175781,,,70.800003,,
China,1300000000,2002,Asia,4300,73,,,73,,
China,1340000000,2007,Asia,7260,75.40000152587891,,,75.400002,,
Colombia,12300000,1952,Americas,3510,53.59999847412109,,53.599998,,,
Colombia,14200000,1957,Americas,3810,58.79999923706055,,58.799999,,,
Colombia,16600000,1962,Americas,4120,62.20000076293945,,62.200001,,,
Colombia,19300000,1967,Americas,4430,64.69999694824219,,64.699997,,,
Colombia,22000000,1972,Americas,5340,65.5,,65.5,,,
Colombia,24600000,1977,Americas,6050,67.90000152587891,,67.900002,,,
Colombia,27500000,1982,Americas,6710,70,,70,,,
Colombia,30600000,1987,Americas,7320,70.59999847412109,,70.599998,,,
Colombia,33800000,1992,Americas,7890,71,,71,,,
Colombia,37100000,1997,Americas,8910,73.19999694824219,,73.199997,,,
Colombia,40300000,2002,Americas,8500,73.30000305175781,,73.300003,,,
Colombia,43200000,2007,Americas,10400,77.30000305175781,,77.300003,,,
Comoros,163000,1952,Africa,754,42.59999847412109,42.599998,,,,
Comoros,179000,1957,Africa,828,44.59999847412109,44.599998,,,,
Comoros,194000,1962,Africa,1010,46.79999923706055,46.799999,,,,
Comoros,211000,1967,Africa,1510,49.09999847412109,49.099998,,,,
Comoros,235000,1972,Africa,1690,51.5,51.5,,,,
Comoros,266000,1977,Africa,1860,53.09999847412109,53.099998,,,,
Comoros,318000,1982,Africa,2350,54.90000152587891,54.900002,,,,
Comoros,366000,1987,Africa,2600,56.90000152587891,56.900002,,,,
Comoros,424000,1992,Africa,2500,58.90000152587891,58.900002,,,,
Comoros,489000,1997,Africa,2260,60.20000076293945,60.200001,,,,
Comoros,556000,2002,Africa,2380,62.90000152587891,62.900002,,,,
Comoros,626000,2007,Africa,2340,65,65,,,,
Costa Rica,972000,1952,Americas,3270,58.40000152587891,,58.400002,,,
Costa Rica,1150000,1957,Americas,3720,61.5,,61.5,,,
Costa Rica,1380000,1962,Americas,4320,64.5,,64.5,,,
Costa Rica,1650000,1967,Americas,5240,67.30000305175781,,67.300003,,,
Costa Rica,1900000,1972,Americas,6510,70,,70,,,
Costa Rica,2150000,1977,Americas,7600,73,,73,,,
Costa Rica,2460000,1982,Americas,6810,75.19999694824219,,75.199997,,,
Costa Rica,2810000,1987,Americas,7350,76.19999694824219,,76.199997,,,
Costa Rica,3200000,1992,Americas,8210,76.59999847412109,,76.599998,,,
Costa Rica,3630000,1997,Americas,9030,77,,77,,,
Costa Rica,4030000,2002,Americas,10100,78.30000305175781,,78.300003,,,
Costa Rica,4350000,2007,Americas,12300,80.19999694824219,,80.199997,,,
Cote d'Ivoire,2690000,1952,Africa,2570,36.09999847412109,36.099998,,,,
Cote d'Ivoire,3090000,1957,Africa,2780,39.70000076293945,39.700001,,,,
Cote d'Ivoire,3630000,1962,Africa,3210,43.90000152587891,43.900002,,,,
Cote d'Ivoire,4380000,1967,Africa,3810,47.90000152587891,47.900002,,,,
Cote d'Ivoire,5330000,1972,Africa,4420,51.90000152587891,51.900002,,,,
Cote d'Ivoire,6710000,1977,Africa,4680,54.40000152587891,54.400002,,,,
Cote d'Ivoire,8390000,1982,Africa,4870,56.09999847412109,56.099998,,,,
Cote d'Ivoire,10300000,1987,Africa,4050,55.90000152587891,55.900002,,,,
Cote d'Ivoire,12400000,1992,Africa,3050,53.5,53.5,,,,
Cote d'Ivoire,14700000,1997,Africa,3110,51.70000076293945,51.700001,,,,
Cote d'Ivoire,16900000,2002,Africa,2810,52.90000152587891,52.900002,,,,
Cote d'Ivoire,18800000,2007,Africa,2650,55.5,55.5,,,,
Croatia,3890000,1952,Europe,3750,60.90000152587891,,,,,60.900002
Croatia,4060000,1957,Europe,5760,63.29999923706055,,,,,63.299999
Croatia,4220000,1962,Europe,7550,65.40000152587891,,,,,65.400002
Croatia,4350000,1967,Europe,10100,67.19999694824219,,,,,67.199997
Croatia,4440000,1972,Europe,13100,68.90000152587891,,,,,68.900002
Croatia,4520000,1977,Europe,16800,70.09999847412109,,,,,70.099998
Croatia,4620000,1982,Europe,19200,71.09999847412109,,,,,71.099998
Croatia,4740000,1987,Europe,19400,71.69999694824219,,,,,71.699997
Croatia,4760000,1992,Europe,12200,71.80000305175781,,,,,71.800003
Croatia,4570000,1997,Europe,14700,73.40000152587891,,,,,73.400002
Croatia,4410000,2002,Europe,17600,74.90000152587891,,,,,74.900002
Croatia,4370000,2007,Europe,22200,75.69999694824219,,,,,75.699997
Cuba,6050000,1952,Americas,4140,60.59999847412109,,60.599998,,,
Cuba,6650000,1957,Americas,4260,63.70000076293945,,63.700001,,,
Cuba,7290000,1962,Americas,4330,66.90000152587891,,66.900002,,,
Cuba,8120000,1967,Americas,5080,70.19999694824219,,70.199997,,,
Cuba,8870000,1972,Americas,4740,72.69999694824219,,72.699997,,,
Cuba,9550000,1977,Americas,5700,73.69999694824219,,73.699997,,,
Cuba,9900000,1982,Americas,6530,74.40000152587891,,74.400002,,,
Cuba,10200000,1987,Americas,7120,74.59999847412109,,74.599998,,,
Cuba,10700000,1992,Americas,4780,74.90000152587891,,74.900002,,,
Cuba,10900000,1997,Americas,4400,75.90000152587891,,75.900002,,,
Cuba,11200000,2002,Americas,5130,77.80000305175781,,77.800003,,,
Cuba,11300000,2007,Americas,6050,78.30000305175781,,78.300003,,,
Czech Republic,9010000,1952,Europe,7550,66.69999694824219,,,,,66.699997
Czech Republic,9420000,1957,Europe,8670,68.80000305175781,,,,,68.800003
Czech Republic,9640000,1962,Europe,10200,69.69999694824219,,,,,69.699997
Czech Republic,9820000,1967,Europe,11100,70.19999694824219,,,,,70.199997
Czech Republic,9850000,1972,Europe,13000,69.59999847412109,,,,,69.599998
Czech Republic,10100000,1977,Europe,15900,70.30000305175781,,,,,70.300003
Czech Republic,10400000,1982,Europe,16800,70.40000152587891,,,,,70.400002
Czech Republic,10300000,1987,Europe,18900,71.09999847412109,,,,,71.099998
Czech Republic,10300000,1992,Europe,17600,72.30000305175781,,,,,72.300003
Czech Republic,10400000,1997,Europe,20000,74,,,,,74
Czech Republic,10300000,2002,Europe,22300,75.5,,,,,75.5
Czech Republic,10300000,2007,Europe,28800,77,,,,,77
Denmark,4310000,1952,Europe,12500,70.59999847412109,,,,,70.599998
Denmark,4470000,1957,Europe,14300,71.59999847412109,,,,,71.599998
Denmark,4610000,1962,Europe,17500,72.19999694824219,,,,,72.199997
Denmark,4800000,1967,Europe,20600,72.80000305175781,,,,,72.800003
Denmark,4960000,1972,Europe,24500,73.40000152587891,,,,,73.400002
Denmark,5080000,1977,Europe,26600,74.30000305175781,,,,,74.300003
Denmark,5130000,1982,Europe,28400,74.40000152587891,,,,,74.400002
Denmark,5110000,1987,Europe,32900,74.80000305175781,,,,,74.800003
Denmark,5150000,1992,Europe,34700,75.40000152587891,,,,,75.400002
Denmark,5250000,1997,Europe,39200,76.19999694824219,,,,,76.199997
Denmark,5360000,2002,Europe,42600,77.19999694824219,,,,,77.199997
Denmark,5440000,2007,Europe,46400,78.40000152587891,,,,,78.400002
