year,sex,name,n,prop
1906,F,Jessica,18,.000057429999
1907,F,Mary,17580,.052099079
1907,F,Helen,7579,.02246069
1907,F,Dorothy,4967,.01471992
1907,F,Emma,2356,.00698211
1907,F,Ida,1980,.00586781
1907,F,Betty,1018,.00301689
1907,F,Amanda,285,.00084460998
1907,F,Patricia,177,.00052454998
1907,F,Linda,102,.00030228001
1907,F,Deborah,21,.000062229999
1907,F,Jessica,17,.00005038
1908,F,Mary,18665,.052647021
1908,F,Helen,8439,.023803281
1908,F,Dorothy,5703,.01608604
1908,F,Emma,2357,.0066482201
1908,F,Ida,1952,.0055058701
1908,F,Betty,1128,.0031816701
1908,F,Amanda,260,.00073336001
1908,F,Patricia,205,.00057823001
1908,F,Linda,93,.00026232001
1908,F,Deborah,25,.00007052
1908,F,Jessica,17,.000047950001
1909,F,Mary,19259,.052320588
1909,F,Helen,9250,.025129311
1909,F,Dorothy,6253,.016987421
1909,F,Emma,2338,.0063515999
1909,F,Ida,1943,.00527851
1909,F,Betty,1082,.0029394501
1909,F,Amanda,271,.00073621998
1909,F,Patricia,233,.00063298998
1909,F,Linda,105,.00028524999
1909,F,Deborah,26,.000070629998
1909,F,Jessica,18,.000048900001
1910,F,Mary,22848,.054461461
1910,F,Helen,10479,.024978191
1910,F,Dorothy,7318,.0174435
1910,F,Emma,2607,.00621416
1910,F,Ida,2107,.0050223302
1910,F,Betty,1389,.0033108799
1910,F,Patricia,316,.00075323001
1910,F,Amanda,278,.00066264998
1910,F,Linda,137,.00032656
1910,F,Deborah,33,.000078659999
1910,F,Jessica,28,.000066740002
1911,F,Mary,24390,.055203728
1911,F,Helen,11801,.026710089
1911,F,Dorothy,8869,.02007388
1911,F,Emma,2616,.0059209899
1911,F,Ida,2119,.0047960901
1911,F,Betty,1456,.00329547
1911,F,Patricia,325,.00073560001
1911,F,Amanda,280,.00063374999
1911,F,Linda,130,.00029423999
1911,F,Deborah,36,.000081480001
1911,F,Jessica,21,.00004753
1912,F,Mary,32304,.055059381
1912,F,Helen,16133,.02749731
1912,F,Dorothy,12645,.021552309
1912,F,Emma,3357,.0057217199
1912,F,Ida,2740,.00467009
1912,F,Betty,2011,.00342758
1912,F,Patricia,504,.00085901999
1912,F,Amanda,310,.00052836997
1912,F,Linda,189,.00032213001
1912,F,Jessica,36,.000061359999
1912,F,Deborah,32,.00005454
1913,F,Mary,36642,.05594942
1913,F,Helen,18888,.028840469
1913,F,Dorothy,14674,.02240603
1913,F,Emma,3474,.00530452
1913,F,Ida,2916,.0044525
1913,F,Betty,2240,.0034203001
1913,F,Patricia,588,.00089783
1913,F,Amanda,346,.00052831002
1913,F,Linda,238,.00036341001
1913,F,Deborah,42,.000064129999
1913,F,Jessica,25,.000038170001
1914,F,Mary,45345,.056921821
1914,F,Helen,23221,.029149439
1914,F,Dorothy,18782,.023577141
1914,F,Emma,3972,.0049860701
1914,F,Ida,3561,.0044701402
1914,F,Betty,2933,.0036818101
1914,F,Patricia,656,.00082348002
1914,F,Amanda,375,.00047073999
1914,F,Linda,219,.00027491001
1914,F,Deborah,62,.000077830002
1914,F,Jessica,42,.000052719999
1915,F,Mary,58187,.056830119
1915,F,Helen,30866,.03014623
1915,F,Dorothy,25154,.024567431
1915,F,Emma,5044,.0049263798
1915,F,Betty,4181,.0040834998
1915,F,Ida,4125,.0040288102
1915,F,Patricia,895,.00087413
1915,F,Amanda,412,.00040239
1915,F,Linda,290,.00028323999
1915,F,Deborah,106,.00010353
1915,F,Jessica,55,.000053719999
1916,F,Mary,61438,.056587279
1916,F,Helen,32662,.030083239
1916,F,Dorothy,27417,.02525234
1916,F,Emma,5217,.0048051002
1916,F,Betty,5136,.0047304998
1916,F,Ida,4364,.0040194499
1916,F,Patricia,1078,.00099288998
1916,F,Amanda,421,.00038776
1916,F,Linda,297,.00027354999
1916,F,Deborah,90,.000082890001
1916,F,Jessica,53,.000048819998
1917,F,Mary,64281,.057204869
1917,F,Helen,34251,.03048061
1917,F,Dorothy,28851,.025675051
1917,F,Betty,6639,.0059081698
1917,F,Emma,5121,.0045572701
1917,F,Ida,4247,.00377949
1917,F,Patricia,1441,.00128237
1917,F,Amanda,445,.00039601
1917,F,Linda,291,.00025896999
1917,F,Deborah,89,.000079199999
1917,F,Jessica,55,.000048950002
1917,F,Ashley,5,4.4499998e-06
1918,F,Mary,67366,.056027912
1918,F,Helen,36148,.03006408
1918,F,Dorothy,32032,.026640831
1918,F,Betty,8803,.0073214001
1918,F,Emma,5324,.0044279401
1918,F,Ida,4450,.0037010401
1918,F,Patricia,1760,.0014637799
1918,F,Amanda,397,.00033017999
1918,F,Linda,322,.00026781001
1918,F,Deborah,92,.000076520002
1918,F,Jessica,56,.00004657
1919,F,Mary,65841,.05605169
1919,F,Helen,33706,.02869455
1919,F,Dorothy,31734,.027015749
1919,F,Betty,10106,.0086034304
1919,F,Emma,5087,.0043306602
1919,F,Ida,4163,.00354404
1919,F,Patricia,2144,.00182523
1919,F,Amanda,379,.00032265001
1919,F,Linda,282,.00024007
1919,F,Deborah,70,.000059589998
1919,F,Jessica,40,.000034050001
1920,F,Mary,70980,.057056092
1920,F,Dorothy,36643,.029454861
1920,F,Helen,35097,.028212139
1920,F,Betty,14017,.01126733
1920,F,Emma,5237,.00420968
1920,F,Ida,4090,.00328768
1920,F,Patricia,2502,.0020111899
1920,F,Amanda,379,.00030464999
1920,F,Linda,349,.00028054
1920,F,Deborah,82,.000065909997
1920,F,Jessica,43,.000034559998
1921,F,Mary,73982,.057811491
1921,F,Dorothy,39086,.03054283
1921,F,Helen,34821,.027210049
1921,F,Betty,17637,.01378202
1921,F,Emma,5073,.0039641801
1921,F,Ida,4146,.00323979
1921,F,Patricia,3381,.0026420001
1921,F,Amanda,392,.00030632
1921,F,Linda,367,.00028678001
1921,F,Deborah,94,.000073449999
1921,F,Jessica,48,.000037509999
1922,F,Mary,72175,.05785311
1922,F,Dorothy,37716,.03023191
1922,F,Helen,32507,.02605655
1922,F,Betty,20894,.01674795
1922,F,Emma,5013,.0040182602
1922,F,Ida,3986,.0031950499
1922,F,Patricia,3902,.00312772
1922,F,Linda,365,.00029257001
1922,F,Amanda,341,.00027332999
1922,F,Deborah,71,.000056910001
1922,F,Jessica,40,.000032060001
1923,F,Mary,71635,.05719544
1923,F,Dorothy,39044,.031173849
1923,F,Helen,31490,.025142521
1923,F,Betty,25991,.020751961
1923,F,Emma,4976,.0039729802
1923,F,Patricia,4799,.0038316599
1923,F,Ida,3889,.00310509
1923,F,Linda,423,.00033774
1923,F,Amanda,362,.00028902999
1923,F,Deborah,118,.000094210001
1923,F,Jessica,52,.000041520001
1924,F,Mary,73532,.056750529
1924,F,Dorothy,39997,.03086889
1924,F,Helen,31191,.024072589
1924,F,Betty,30602,.023618011
1924,F,Patricia,6958,.0053700502
1924,F,Emma,4899,.0037809501
1924,F,Ida,3861,.0029798399
1924,F,Linda,454,.00035039001
1924,F,Amanda,341,.00026318
1924,F,Deborah,125,.000096470001
1924,F,Jessica,41,.00003164
1925,F,Mary,70597,.055892959
1925,F,Dorothy,38570,.03053659
1925,F,Betty,32813,.02597866
1925,F,Helen,29170,.023094431
1925,F,Patricia,8095,.0064089601
1925,F,Emma,4713,.00373137
1925,F,Ida,3488,.00276151
1925,F,Linda,438,.00034676999
1925,F,Amanda,310,.00024543001
1925,F,Deborah,82,.000064920001
1925,F,Jessica,34,.000026920001
1926,F,Mary,67829,.055138711
1926,F,Dorothy,36615,.029764609
1926,F,Betty,32963,.026795881
1926,F,Helen,26885,.021855021
1926,F,Patricia,8590,.0069828802
1926,F,Emma,4481,.0036426401
1926,F,Ida,3285,.0026704001
1926,F,Linda,479,.00038938
1926,F,Amanda,310,.000252
1926,F,Deborah,116,.000094299998
1926,F,Jessica,35,.00002845
1927,F,Mary,70637,.057131331
1927,F,Dorothy,35991,.02910958
1927,F,Betty,35423,.02865018
1927,F,Helen,25319,.020478049
1927,F,Patricia,10553,.0085352799
1927,F,Emma,4325,.0034980699
1927,F,Ida,3205,.00259221
1927,F,Linda,516,.00041733999
1927,F,Amanda,234,.00018926
1927,F,Deborah,91,.0000736
1927,F,Jessica,39,.000031539999
1928,F,Mary,66869,.055935651
1928,F,Betty,36079,.03017994
1928,F,Dorothy,33730,.02821501
1928,F,Helen,22934,.0191842
1928,F,Patricia,12333,.0103165
1928,F,Emma,4018,.00336104
1928,F,Ida,2994,.0025044701
1928,F,Linda,554,.00046342
1928,F,Amanda,247,.00020661
1928,F,Deborah,130,.00010874
1928,F,Jessica,36,.000030110001
1929,F,Mary,63510,.05486726
1929,F,Betty,36673,.031682361
1929,F,Dorothy,31478,.027194319
1929,F,Helen,20984,.018128401
1929,F,Patricia,13624,.01176998
1929,F,Emma,3802,.0032846101
1929,F,Ida,2673,.0023092499
1929,F,Linda,509,.00043973001
1929,F,Amanda,209,.00018056
1929,F,Deborah,161,.00013909
1929,F,Jessica,42,.000036279998
1930,F,Mary,64146,.054993771
1930,F,Betty,38233,.032777991
1930,F,Dorothy,30407,.026068591
1930,F,Helen,19914,.017072709
1930,F,Patricia,15752,.01350453
1930,F,Emma,3555,.0030477799
1930,F,Ida,2644,.00226676
1930,F,Linda,492,.00042180001
1930,F,Amanda,196,.00016804
1930,F,Deborah,165,.00014146
1930,F,Jessica,38,.000032579999
1931,F,Mary,60296,.0546345
1931,F,Betty,36104,.032714009
1931,F,Dorothy,26522,.02403171
1931,F,Helen,17660,.016001809
1931,F,Patricia,16468,.01492174
1931,F,Emma,3307,.0029964901
1931,F,Ida,2417,.00219006
1931,F,Linda,534,.00048386
1931,F,Amanda,209,.00018938001
1931,F,Deborah,158,.00014316
1931,F,Jessica,39,.000035339999
1932,F,Mary,59872,.054122951
1932,F,Betty,34415,.031110389
1932,F,Dorothy,24973,.02257503
1932,F,Patricia,17990,.016262559
1932,F,Helen,16374,.01480173
1932,F,Emma,3331,.0030111501
1932,F,Ida,2316,.0020936099
1932,F,Linda,775,.00070058001
1932,F,Amanda,213,.00019255
1932,F,Deborah,207,.00018711999
1932,F,Jessica,44,.000039779999
1933,F,Mary,55507,.053069212
1933,F,Betty,31524,.03013951
1933,F,Dorothy,22047,.02107873
1933,F,Patricia,18629,.01781084
1933,F,Helen,14643,.0139999
1933,F,Emma,3151,.0030126099
1933,F,Ida,2064,.0019733501
1933,F,Linda,786,.00075147999
1933,F,Deborah,243,.00023233
1933,F,Amanda,199,.00019026001
1933,F,Jessica,43,.000041110001
1934,F,Mary,56924,.052599039
1934,F,Betty,31083,.028721379
1934,F,Dorothy,21283,.01966597
1934,F,Patricia,20845,.019261239
1934,F,Helen,14100,.01302871
1934,F,Emma,2941,.0027175499
1934,F,Ida,1972,.00182217
1934,F,Linda,1000,.00092402002
1934,F,Deborah,280,.00025873
1934,F,Amanda,189,.00017463999
1934,F,Jessica,46,.000042510001
1935,F,Mary,55065,.050671481
1935,F,Betty,28671,.0263834
1935,F,Patricia,22876,.02105077
1935,F,Dorothy,19403,.017854881
1935,F,Helen,12781,.01176123
1935,F,Emma,2802,.0025784301
1935,F,Ida,1923,.0017695701
1935,F,Linda,1196,.00110057
1935,F,Deborah,280,.00025765999
1935,F,Amanda,212,.00019508001
1935,F,Jessica,47,.000043249998
1936,F,Mary,54373,.0504626
1936,F,Betty,25865,.024004839
1936,F,Patricia,23914,.022194151
1936,F,Dorothy,17668,.01639735
1936,F,Helen,12234,.01135416
1936,F,Emma,2833,.0026292601
1936,F,Linda,2439,.00226359
1936,F,Ida,1799,.00166962
1936,F,Deborah,300,.00027841999
1936,F,Amanda,192,.00017819001
1936,F,Jessica,43,.000039909999
1937,F,Mary,55642,.05050274
1937,F,Patricia,26838,.024359159
1937,F,Betty,25331,.02299135
1937,F,Dorothy,16572,.01504136
1937,F,Helen,11454,.01039607
1937,F,Linda,4380,.0039754501
1937,F,Emma,2748,.0024941899
1937,F,Ida,1784,.00161922
1937,F,Deborah,322,.00029226
1937,F,Amanda,176,.00015974
1937,F,Jessica,72,.000065350003
1938,F,Mary,56214,.04925181
1938,F,Patricia,27555,.024142271
1938,F,Betty,25503,.02234442
1938,F,Dorothy,16347,.0143224
1938,F,Helen,10834,.0094921896
1938,F,Linda,7046,.0061733401
1938,F,Emma,2668,.0023375601
1938,F,Ida,1724,.00151048
1938,F,Deborah,410,.00035921999
1938,F,Amanda,192,.00016821999
1938,F,Jessica,50,.00004381
1938,F,Ashley,7,6.1300002e-06
1939,F,Mary,54903,.048413511
1939,F,Patricia,29706,.02619477
1939,F,Betty,23640,.020845771
1939,F,Dorothy,15171,.0133778
1939,F,Linda,10714,.00944761
1939,F,Helen,10418,.0091866003
1939,F,Emma,2685,.0023676399
1939,F,Ida,1589,.0014011801
1939,F,Deborah,443,.00039063999
1939,F,Amanda,185,.00016313
1939,F,Jessica,77,.0000679
1940,F,Mary,56201,.047577608
1940,F,Patricia,32662,.02765039
1940,F,Betty,22074,.018687
1940,F,Linda,18368,.01554964
1940,F,Dorothy,14877,.0125943
1940,F,Helen,10199,.0086340802
1940,F,Emma,2607,.00220699
1940,F,Ida,1688,.0014290001
1940,F,Deborah,470,.00039788001
1940,F,Amanda,218,.00018454999
1940,F,Jessica,61,.00005164
1941,F,Mary,58040,.046586409
1941,F,Patricia,36901,.029618969
1941,F,Linda,23720,.0190391
1941,F,Betty,20902,.01677721
1941,F,Dorothy,14563,.01168914
1941,F,Helen,9889,.0079375096
1941,F,Emma,2545,.0020427699
1941,F,Ida,1609,.00129148
1941,F,Deborah,608,.00048802001
1941,F,Amanda,223,.00017899
1941,F,Jessica,81,.000065020002
1941,F,Ashley,6,4.8200000e-06
1942,F,Mary,63249,.045489982
1942,F,Patricia,39454,.02837613
1942,F,Linda,31611,.022735281
1942,F,Betty,21654,.015574
1942,F,Dorothy,15032,.01081132
1942,F,Helen,10015,.0072029899
1942,F,Emma,2605,.00187357
1942,F,Ida,1620,.00116514
1942,F,Deborah,676,.00048618999
1942,F,Amanda,295,.00021216999
1942,F,Jessica,127,.00009134
1942,F,Ashley,8,5.7500001e-06
1943,F,Mary,66169,.046101999
1943,F,Patricia,39623,.02760658
1943,F,Linda,38438,.02678095
1943,F,Betty,21596,.0150466
1943,F,Dorothy,14789,.01030396
1943,F,Helen,9799,.0068272701
1943,F,Emma,2422,.00168748
1943,F,Ida,1477,.00102907
1943,F,Deborah,787,.00054833002
1943,F,Amanda,284,.00019787
1943,F,Jessica,121,.000084300002
1943,F,Ashley,10,6.9700000e-06
1944,F,Mary,62466,.045713909
1944,F,Linda,38411,.02810996
1944,F,Patricia,36876,.026986619
1944,F,Betty,19758,.01445931
1944,F,Dorothy,13380,.0097917598
1944,F,Helen,8694,.0063624498
1944,F,Emma,2246,.00164367
1944,F,Ida,1335,.00097697997
1944,F,Deborah,1293,.00094623998
1944,F,Amanda,238,.00017417
1944,F,Jessica,124,.00009075
1944,F,Ashley,10,7.3199999e-06
1945,F,Mary,59284,.044042479
1945,F,Linda,41461,.030801659
1945,F,Patricia,35839,.02662503
1945,F,Betty,18388,.01366057
1945,F,Dorothy,12325,.0091563296
1945,F,Helen,8301,.0061668698
1945,F,Emma,2052,.00152444
1945,F,Deborah,1463,.00108687
1945,F,Ida,1232,.00091526
1945,F,Amanda,280,.00020800999
1945,F,Jessica,132,.000098060002
1945,F,Ashley,10,7.4300001e-06
1946,F,Mary,67468,.041831668
1946,F,Linda,52711,.032682002
1946,F,Patricia,46296,.028704559
1946,F,Betty,19712,.01222188
1946,F,Dorothy,12798,.0079350499
1946,F,Helen,8851,.0054878201
1946,F,Deborah,2471,.00153208
1946,F,Emma,2071,.00128407
1946,F,Ida,1390,.00086183002
1946,F,Amanda,274,.00016989
1946,F,Jessica,240,.00014881
1946,F,Ashley,7,4.3400000e-06
1947,F,Linda,99686,.054838121
1947,F,Mary,71688,.03943618
1947,F,Patricia,51278,.02820847
1947,F,Betty,18963,.01043171
1947,F,Dorothy,12750,.0070138802
1947,F,Helen,8979,.0049394201
1947,F,Deborah,5838,.0032115299
1947,F,Emma,2142,.00117833
1947,F,Ida,1348,.00074155
1947,F,Jessica,430,.00023655
1947,F,Amanda,310,.00017052999
1947,F,Ashley,11,6.0500001e-06
1948,F,Linda,96209,.055210792
1948,F,Mary,68596,.03936471
1948,F,Patricia,46134,.026474601
1948,F,Betty,16621,.0095381802
1948,F,Dorothy,11324,.0064984299
1948,F,Deborah,11245,.0064530899
1948,F,Helen,8304,.0047653602
1948,F,Emma,2097,.00120339
1948,F,Ida,1303,.00074773998
1948,F,Jessica,482,.00027660001
1948,F,Amanda,306,.0001756
1948,F,Ashley,13,7.4599998e-06
1949,F,Linda,91016,.05184643
1949,F,Mary,66862,.038087331
1949,F,Patricia,46330,.02639146
1949,F,Deborah,19208,.01094166
1949,F,Betty,14944,.0085127102
1949,F,Dorothy,10407,.00592825
1949,F,Helen,7706,.0043896502
1949,F,Emma,2000,.00113928
1949,F,Ida,1289,.00073427003
1949,F,Jessica,406,.00023126999
1949,F,Amanda,333,.00018969001
1949,F,Ashley,11,6.2700001e-06
1950,F,Linda,80432,.045735911
1950,F,Mary,65482,.037234921
1950,F,Patricia,47945,.02726288
1950,F,Deborah,29064,.01652661
1950,F,Betty,13612,.0077401702
1950,F,Dorothy,9552,.0054315398
1950,F,Helen,7059,.00401395
1950,F,Emma,1898,.00107926
1950,F,Ida,1195,.00067951001
1950,F,Jessica,402,.00022859
1950,F,Amanda,380,.00021608001
1950,F,Ashley,15,8.5299998e-06
1951,F,Linda,73972,.040043809
1951,F,Mary,65726,.035579938
1951,F,Patricia,56441,.03055362
1951,F,Deborah,42050,.02276323
1951,F,Betty,12824,.0069421101
